"","GRID_ID","EFH_2010","EFH_2011","EFH_2012","EFH_2013","EFH_2014","STW_2010","STW_2011","STW_2012","STW_2013","STW_2014"
"1","A-20",0,0,0,0,0,0,0,0,0,0
"2","A-21",0,0,0,0,0,0,0,0,0,0
"3","A-22",0,0,0,0,0,0,0,0,0,0
"4","A-23",0,0,0,0,0,0,0,0,0,0
"5","A-31",0,0,0,0,0,0,0,0,0,0
"6","AA-10",62,62,67,72,72,144,144,140,149,154
"7","AA-11",228,232,230,232,235,507,507,548,552,551
"8","AA-12",42,42,42,42,42,7,7,7,7,7
"9","AA-13",0,0,0,0,0,5,5,5,5,5
"10","AA-14",356,357,357,360,360,437,431,431,448,447
"11","AA-15",37,36,37,37,37,17,17,17,17,17
"12","AA-16",12,12,13,13,12,63,63,71,71,72
"13","AA-17",68,67,67,67,67,95,94,95,95,95
"14","AA-18",14,15,14,14,14,12,12,12,12,12
"15","AA-19",156,162,164,168,169,703,710,706,711,773
"16","AA-20",75,75,75,76,76,499,499,513,512,533
"17","AA-21",19,19,20,20,20,12,12,12,12,12
"18","AA-22",0,0,0,0,0,0,0,0,0,0
"19","AA-23",119,118,118,110,110,75,77,77,85,85
"20","AA-24",154,154,168,160,159,283,295,297,305,310
"21","AA-25",0,0,0,0,0,0,0,0,0,0
"22","AA-26",15,14,14,14,14,14,15,15,15,15
"23","AA-27",131,131,130,129,129,116,122,125,125,126
"24","AA-28",252,253,252,252,253,679,678,702,696,712
"25","AA-29",17,17,17,17,17,25,25,23,23,23
"26","AA-3",0,0,0,0,0,0,0,0,0,0
"27","AA-30",53,53,53,53,53,33,33,35,35,35
"28","AA-31",48,48,48,48,48,19,18,19,63,63
"29","AA-32",120,120,120,121,121,1986,1991,2019,2017,2018
"30","AA-33",37,37,37,38,40,360,361,361,365,369
"31","AA-34",120,122,120,120,121,1079,1076,1061,1061,1067
"32","AA-35",61,61,61,61,62,135,137,138,138,135
"33","AA-37",124,121,116,116,115,170,172,178,186,186
"34","AA-38",42,42,40,40,40,66,66,67,70,64
"35","AA-39",10,10,10,9,9,18,18,18,18,18
"36","AA-4",0,0,0,0,0,0,0,0,0,0
"37","AA-40",36,37,37,38,38,57,54,54,53,53
"38","AA-41",12,12,12,12,13,18,18,18,16,16
"39","AA-42",0,0,0,0,0,13,12,11,11,11
"40","AA-43",0,0,0,0,0,11,11,11,11,11
"41","AA-44",43,43,43,43,42,43,43,42,42,43
"42","AA-45",230,228,227,226,228,839,867,871,867,856
"43","AA-46",13,13,13,11,11,98,98,98,104,114
"44","AA-48",8,8,8,9,9,134,134,141,159,159
"45","AA-49",188,188,188,190,189,2140,2145,2154,2146,2159
"46","AA-5",20,20,20,20,20,35,35,35,35,35
"47","AA-50",240,242,241,238,237,581,581,588,592,574
"48","AA-51",0,0,0,0,0,5,5,5,5,5
"49","AA-52",53,50,53,54,53,45,53,63,63,62
"50","AA-53",55,54,55,55,55,189,189,189,192,191
"51","AA-54",53,53,53,53,53,70,70,70,70,70
"52","AA-55",9,9,9,9,9,7,7,7,7,7
"53","AA-56",0,0,0,0,0,0,0,0,0,0
"54","AA-6",56,56,57,59,59,12,12,13,13,13
"55","AA-7",0,0,0,0,0,0,0,0,0,0
"56","AA-8",42,39,42,44,44,57,57,57,57,57
"57","AA-9",0,0,0,0,0,0,0,0,0,0
"58","AB-10",0,0,0,0,0,0,0,0,0,0
"59","AB-11",105,104,106,107,108,163,163,157,157,157
