"","GRID_ID","year","recordid","condemned_building","cat_contruction_year","cat_n_rooms","n_apartments_building","status","gkat","not_built"
"8","Z-55",2010,3560,0,"-1850","5",10,1,1025,0
"15","AB-53",2010,271,0,"1971-1980",NA,3,1,1025,0
"16","AB-53",2010,1695,0,"1991-2000","3",5,1,1025,0
"22","AD-52",2010,2619,0,"2001-2010","3",21,1,1030,0
"23","AD-52",2010,39,0,NA,"5",NA,1,NA,1
"24","AD-52",2010,1235,0,NA,"4",NA,1,NA,1
"25","AD-52",2010,1837,0,NA,"4",NA,1,NA,1
"26","AD-52",2010,1838,0,NA,"4",NA,1,NA,1
"27","AD-52",2010,1839,0,NA,"4",NA,1,NA,1
"28","AD-52",2010,1840,0,NA,"5",NA,1,NA,1
"29","AD-52",2010,113,0,NA,"3",NA,1,NA,NA
"30","AD-52",2010,114,0,NA,"4",NA,1,NA,NA
"31","AD-52",2010,115,0,NA,"4",NA,1,NA,NA
"32","AD-52",2010,185,0,NA,"5",NA,1,NA,NA
"33","AD-52",2010,186,0,NA,"5",NA,1,NA,NA
"34","AD-52",2010,251,0,NA,"3",NA,1,NA,NA
"35","AD-52",2010,252,0,NA,"3",NA,1,NA,NA
"36","AD-52",2010,253,0,NA,"4",NA,1,NA,NA
"37","AD-52",2010,254,0,NA,"3",NA,1,NA,NA
"38","AD-52",2010,255,0,NA,"4",NA,1,NA,NA
"39","AD-52",2010,256,0,NA,"4",NA,1,NA,NA
"40","AD-52",2010,376,0,NA,"2",NA,1,NA,NA
"41","AD-52",2010,539,0,NA,"4",NA,1,NA,NA
"42","AD-52",2010,540,0,NA,"3",NA,1,NA,NA
"43","AD-52",2010,543,0,NA,"3",NA,1,NA,NA
"44","AD-52",2010,544,0,NA,"5",NA,1,NA,NA
"45","AD-52",2010,545,0,NA,"3",NA,1,NA,NA
"46","AD-52",2010,546,0,NA,"5",NA,1,NA,NA
"47","AD-52",2010,547,0,NA,"5",NA,1,NA,NA
"48","AD-52",2010,548,0,NA,"5",NA,1,NA,NA
"49","AD-52",2010,549,0,NA,"3",NA,1,NA,NA
"50","AD-52",2010,550,0,NA,"5",NA,1,NA,NA
"51","AD-52",2010,551,0,NA,"5",NA,1,NA,NA
"52","AD-52",2010,552,0,NA,"5",NA,1,NA,NA
"53","AD-52",2010,584,0,NA,"4",NA,1,NA,NA
"54","AD-52",2010,709,0,NA,"4",NA,1,NA,NA
"55","AD-52",2010,983,0,NA,"4",NA,1,NA,NA
"56","AD-52",2010,1039,0,NA,"3",NA,1,NA,NA
"57","AD-52",2010,1041,0,NA,"3",NA,1,NA,NA
"58","AD-52",2010,1143,0,NA,"4",NA,1,NA,NA
"59","AD-52",2010,1144,0,NA,"5",NA,1,NA,NA
"60","AD-52",2010,1145,0,NA,"5",NA,1,NA,NA
"61","AD-52",2010,1200,0,NA,"4",NA,1,NA,NA
"62","AD-52",2010,1201,0,NA,"2",NA,1,NA,NA
"63","AD-52",2010,1202,0,NA,"2",NA,1,NA,NA
"64","AD-52",2010,1203,0,NA,"2",NA,1,NA,NA
"65","AD-52",2010,1398,0,NA,"5",NA,1,NA,NA
"66","AD-52",2010,1580,0,NA,"3",NA,1,NA,NA
"67","AD-52",2010,1581,0,NA,"5",NA,1,NA,NA
"68","AD-52",2010,1582,0,NA,"4",NA,1,NA,NA
"69","AD-52",2010,1777,0,NA,"2",NA,1,NA,NA
"70","AD-52",2010,1778,0,NA,"4",NA,1,NA,NA
"71","AD-52",2010,1779,0,NA,"4",NA,1,NA,NA
"72","AD-52",2010,1780,0,NA,"4",NA,1,NA,NA
"73","AD-52",2010,2246,0,NA,"2",NA,1,NA,NA
"74","AD-52",2010,2327,0,NA,"3",NA,1,NA,NA
"75","AD-52",2010,2433,0,NA,"4",NA,1,NA,NA
"76","AD-52",2010,2434,0,NA,"5",NA,1,NA,NA
"77","AD-52",2010,2539,0,NA,"2",NA,1,NA,NA
"78","AD-52",2010,2951,0,NA,"3",NA,1,NA,NA
"79","AD-52",2010,3314,0,NA,"5",NA,1,NA,NA
"80","AD-52",2010,3315,0,NA,"4",NA,1,NA,NA
"81","AD-52",2010,3317,0,NA,"3",NA,1,NA,NA
"82","AD-52",2010,3394,0,NA,"4",NA,1,NA,NA
"83","AD-52",2010,3912,0,NA,"2",NA,1,NA,NA
"84","AD-52",2010,4068,0,NA,"3",NA,1,NA,NA
"85","AD-52",2010,4139,0,NA,"3",NA,1,NA,NA
"93","AD-51",2010,3525,0,"1981-1990","4",6,1,1030,0
"94","AD-51",2010,3770,0,"1981-1990","3",6,1,1030,0
"95","AD-51",2010,4156,0,"1981-1990","4",6,1,1030,0
"107","AB-50",2010,377,0,"1981-1990","3",12,1,1025,0
"108","AB-50",2010,906,0,"2001-2010","4",30,1,1030,0
"109","AB-50",2010,1038,0,"2001-2010","2",11,1,1030,0
"110","AB-50",2010,1369,0,"2001-2010","4",30,1,1030,0
"111","AB-50",2010,2326,0,"1876-1900",NA,15,1,1030,0
"112","AB-50",2010,2431,0,"2001-2010","3",11,1,1030,0
"113","AB-50",2010,3313,0,"2001-2010","3",11,1,1030,0
"114","AB-50",2010,3407,0,"2001-2010","6",11,1,1030,0
"115","AB-50",2010,4126,0,"2001-2010","4",11,1,1030,0
"116","AB-50",2010,32,0,NA,NA,NA,1,NA,NA
"117","AB-50",2010,1234,0,NA,"4",NA,1,NA,NA
"118","AC-50",2010,3396,0,"1991-2000","4",4,1,1025,0
"119","AC-50",2010,3395,0,NA,"3",NA,1,NA,1
"120","AC-50",2010,3526,0,NA,"7+",NA,1,NA,NA
"125","Z-49",2010,179,0,"1951-1960","3",12,1,1030,0
"126","Z-49",2010,489,0,"2001-2010",NA,11,1,1025,0
"127","Z-49",2010,585,0,"1971-1980","1",20,1,1025,0
